name,movie_title,number_of_lines,age_bracket,profession,religion,country_of_origin,additional_info,quote,annotated,speaker_id,movie_id,gender,description,source
alvy,annie hall,500,Adult,Comedian,Jewish,USA,The film is from his perspective and introspective. Played by Woody Allen," You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love. ",True,u3681,m243,A man,"Comedian Alvy Singer is trying to understand why his relationship with Annie Hall ended a year ago. Growing up in Brooklyn, he vexed his mother with impossible questions about the emptiness of existence, but he was precocious about his innocent sexual curiosity, suddenly kissing a classmate at six years old and not understanding why she was not keen to reciprocate.",https://en.wikipedia.org/wiki/Annie_Hall
harold,harold and maude,244,Young Adult,Student,Unknown,USA,,...I go to funerals.,True,u1272,m84,A man,"Harold Chasen is a 19-year-old man obsessed with death. He stages elaborate fake suicides, attends funerals (usually for people that he doesn't know), and drives a hearse, all to the chagrin of his self-obsessed, wealthy socialite mother.[4] His mother sends Harold to a psychoanalyst, sets him up with blind dates, and buys him a luxury car, all schemes he subverts in his own way. Harold meets 79-year-old Maude one day while at a random stranger's funeral Mass, and discovers that they share a hobby. Harold is entranced by Maude's quirky outlook on life, which is bright and delightfully carefree in contrast with his moribund demeanor. Harold's mother is determined, against Harold's wishes, to find him a wife. One by one, Harold frightens and horrifies each of his appointed computer dates, by appearing to commit gruesome acts: self-immolation, self-mutilation, and seppuku. His mother tries enlisting him in the military by sending Harold to his uncle, who lost an arm serving under General MacArthur in the Second World War, but Harold deters the recruitment by staging a scene where Maude poses as a pacifist protester and Harold seemingly murders her out of militarist fanaticism. As Harold and Maude grow closer, their friendship blossoms into a romance. Holding her hand, Harold discovers a number tattooed on her forearm, indicating Maude survived the Nazi death camps. Harold announces that he will marry Maude, resulting in disgusted outbursts from his family, analyst, and priest. After learning of Maude's death, Harold is shown speeding down a country road, and sending the car off a seaside cliff. After the crash, the final shot reveals Harold standing calmly atop the cliff, holding his banjo and wearing colorful clothing for the first time in the film. After gazing down at the wreckage, he dances away to ""If You Want to Sing Out, Sing Out"".",https://en.wikipedia.org/wiki/Harold_and_Maude
terry,on the waterfront,225,Adult,Dock Worker,Troubled Catholic,USA,Played by Marlon Brando.,“You wanna hear my philosophy on life? Do it to him before he does it to you.”,True,u6967,m465,A man,He managed to keep his hopes up for something good to happen to him after his father was tragically murdered. Terry ended up blowing his chance to be a boxing master and his career ended early. ,https://hero.fandom.com/wiki/Terry_Malloy
weir,event horizon,104,Adult,Starship Designer,Unknown,USA,The film is set in 2047.,"A dimension of pure chaos. Pure... evil. When she crossed over, she was just a ship. But when she came back... she was alive!",True,u888,m57,A man,"Dr William Weir briefs the rescuers on the ship's experimental gravity drive with a simple visualization of how it folds space-time. The crew begins seeing people from their pasts that only they can see, hallucinations corresponding to their fears and regrets. Weir sees an eyeless vision of his late wife who killed herself, urging him to join her. When Miller decides to destroy Event Horizon and orders an evacuation, Weir, who has gouged out his own eyes and is possessed by the evil presence, uses an explosive device to destroy the Lewis and Clark, killing Smith and blasting Cooper off into space. Weir kills D.J. by vivisecting him and corners Starck on the bridge. Weir overpowers Miller when confronted, and initiates a 10-minute countdown, at the end of which the Event Horizon will return to the other dimension by activating the gravity drive. Weir shoots at Cooper, shattering the window, and is then blown into space by the ensuing decompression. Manifestations of Corrick which turn out to be the resurrected Dr. Weir, attack Miller. ",https://en.wikipedia.org/wiki/Event_Horizon_(film)
duke,fear and loathing in las vegas,179,Adult,Journalist,Unknown,USA,,A drug person can learn to cope with things like seeing their dead grandmother crawling up their leg with a knife in her teeth. But no one should be asked to handle this trip.,True,u920,m60,A man,"He is portrayed as a cynical, mentally unbalanced, Gonzo journalist whose daily life is a near-perpetual state of intoxication on whatever drugs happen to be available - ranging from cannabis to amyl nitrite to adrenochrome - in an attempt to keep the spirit of the 1960s,",https://en.wikipedia.org/wiki/Raoul_Duke
jerry,conspiracy theory,197,Adult,Taxi Driver,Unknown,USA, ,"A good conspiracy is unprovable. I mean, if you can prove it, it means they screwed up somewhere along the line.",True,u4592,m303,A man,"Conspiracy-theorist and New York City taxi driver Jerry Fletcher continually expounds his ideas to Alice, whom he once saved from a mugging. Seeing suspicious activity everywhere, Jerry identifies some men as CIA workers, follows them into a building, and is captured. ",https://en.wikipedia.org/wiki/Conspiracy_Theory_(film)
nuke,bull durham,119,Young Adult,Minor league Pitcher,Unknown,USA,Played by Tim Robbins,"A good friend of mine used to say, ""This is a very simple game. You throw the ball, you catch the ball, you hit the ball. Sometimes you win, sometimes you lose, sometimes it rains."" Think about that for a while.",True,u4325,m288,A man,"Rookie pitcher Ebby Calvin ""Nuke"" LaLoosh is taught by Crash Davis about baseball in preparation for reaching the major leagues. After a rough start, Nuke becomes a dominant pitcher by mid-season,",https://en.wikipedia.org/wiki/Bull_Durham
brean,wag the dog,254,Adult,Spin Doctor,Unknown,USA,Played by Robert De Niro,A good plan today is better than a perfect plan tomorrow.,True,u8810,m598,A man,"Conrad Brean, a top spin doctor, is brought in by presidential aide Winifred Ames to take the public's attention away from the scandal. He decides to construct a fictional war in Albania, hoping the media will concentrate on this instead.",https://en.wikipedia.org/wiki/Wag_the_Dog
hildy,his girl friday,341,Adult,Newspaper Reporter,Unknown,USA,,"A journalist? Hell, what does that mean? Peeking through keyholes? Chasing after fire engines? Waking people up in the middle of the night to ask them if Hitler's gonna start another war? Stealing pictures off old ladies? I know all about reporters.",True,u1364,m90,A woman,"Former star reporter, Hildegard ""Hildy"" Johnson, is about to marry insurance man Bruce Baldwin and settle down as a housewife in Albany. Hildy is consumed by writing a story. Hildy was afraid that Walter was going to let her marry Bruce without a fight.",https://en.wikipedia.org/wiki/His_Girl_Friday
roger rabbit,who framed roger rabbit,63,Adult,Cartoon Star,Unknown,USA,Voiced by Charles Fleischer. Designed by Richard Williams. ,"A laugh can be a very powerful thing. Why, sometimes in life, it's the only weapon we have.",True,u7294,m492,A man,"Roger is a slender, white rabbit with large blue eyes, a pink nose, a tuft of red hair who wears red overalls, yellow gloves, and a blue bow tie with yellow polka dots. He is an amalgamation of various classic cartoon characters from the Golden Age of American Animation of the 1930s-1960s; taking Bugs Bunny's cartoon rabbit form, Droopy's tuft of red hair, Porky Pig's bowtie, Mickey Mouse's gloves, and Goofy's baggy pants. Roger is hyperactive, friendly, talkative, funny, a bit childlike, and not very bright at times. He loves to make others laugh and is good friends with the other Toons, especially Baby Herman (his Maroon Cartoons co-star) and Benny the Cab. He is also cowardly and greatly fears Judge Doom, the Dip, and the Toon Patrol as well as many other hazards. Despite his traditionally cartoonish behaviour, Roger is aware of what most people think of cartoons, facts he's voiced to Eddie Valiant, in that making people laugh and smile is often what makes toons' lives worthwhile, but also notes that there are times when making people laugh and smile is the only weapon toons have. He believes that if someone “doesn't have a good sense of humour they're better off dead” and get upset over having to sit through things such as newsreels that he perceives as boring. He truly loves his wife Jessica and always makes her laugh. To him as he tells Eddie and his boss R.K. Maroon, Jessica is ""the light of his life"", ""the apple of his eye"" and ""the cream in his coffee."" Roger does not take well to human alcoholic beverages. It is shown twice in the film that when he has consumed one, he changes colour rapidly, at least one of his eyes pops open, his bow tie spins, and he mumbles incoherently at a fast pace, before stretching up into the air and whistling like a steam whistle at a loud enough tone to shatter glass, all the while flailing about. In the film, he is re-envisioned as a character in 1940s animated cartoons and a resident of the fictional Los Angeles enclave Toontown. He is framed for the murder of Acme Corporation C.E.O. Marvin Acme and seeks out Eddie Valiant to help clear his name.",https://en.wikipedia.org/wiki/Roger_Rabbit
